SSE4, 128, 233719088, 97842, 1000000, 233
Scalar, 256, 2203964547, 6201024, 1000000, 2203
SSE4, 256, 440800791, 209340, 1000000, 440
Scalar, 512, 4287597554, 4479127, 1000000, 4287
SSE4, 512, 868223838, 149900, 1000000, 868
Scalar, 1024, 8501932232, 6362487, 1000000, 8501
SSE4, 1024, 1793495669, 172749, 1000000, 1793
Scalar, 2048, 17125686199, 6322738, 1000000, 17125
SSE4, 2048, 3608965015, 128256, 1000000, 3608
Scalar, 24, 217837184, 6023692, 1000000, 217
SSE4, 24, 52124755, 43945, 1000000, 52
Scalar, 72, 672690209, 6175622, 1000000, 672
SSE4, 72, 138135163, 134784, 1000000, 138
Scalar, 216, 1885905072, 6260769, 1000000, 1885
SSE4, 216, 368671897, 150744, 1000000, 368
Scalar, 648, 5489524734, 6261773, 1000000, 5489
SSE4, 648, 1131166264, 160501, 1000000, 1131
Scalar, 1944, 16386808138, 6198816, 1000000, 16386
SSE4, 1944, 3296099885, 148138, 1000000, 3296
Scalar, 5832, 48749378074, 6184436, 1000000, 48749
SSE4, 5832, 9955105650, 341769, 1000000, 9955
Scalar, 8, 80512503, 6050748, 1000000, 80
SSE4, 8, 32932418, 28818, 1000000, 32
Scalar, 16, 150098602, 6051227, 1000000, 150
SSE4, 16, 46348377, 214976, 1000000, 46
Scalar, 32, 331220033, 6318882, 1000000, 331
SSE4, 32, 66015952, 34100, 1000000, 66
Scalar, 64, 585902708, 235785, 1000000, 585
SSE4, 64, 117162657, 6196, 1000000, 117
Scalar, 128, 1125828982, 274148, 1000000, 1125
SSE4, 128, 239806388, 100310, 1000000, 239
Scalar, 256, 2208841080, 6225739, 1000000, 2208
SSE4, 256, 439152026, 59105, 1000000, 439
Scalar, 512, 4309596163, 6323989, 1000000, 4309
SSE4, 512, 876550540, 91205, 1000000, 876
Scalar, 1024, 8672443083, 5616618, 1000000, 8672
SSE4, 1024, 1745137294, 140734, 1000000, 1745
Scalar, 2048, 17285132958, 11316919, 1000000, 17285
SSE4, 2048, 3483756267, 193717, 1000000, 3483
Scalar, 24, 206785753, 6111366, 1000000, 206
SSE4, 24, 56555793, 41728, 1000000, 56
Scalar, 72, 665095192, 6243965, 1000000, 665
SSE4, 72, 137549856, 25141, 1000000, 137
Scalar, 216, 1866748954, 6271746, 1000000, 1866
SSE4, 216, 376506537, 110185, 1000000, 376
Scalar, 648, 5457296994, 6223386, 1000000, 5457
SSE4, 648, 1126362224, 144601, 1000000, 1126
Scalar, 1944, 16248557152, 6342722, 1000000, 16248
SSE4, 1944, 3262279686, 215756, 1000000, 3262
Scalar, 5832, 48701591208, 6306304, 1000000, 48701
SSE4, 5832, 9786531883, 385005, 1000000, 9786
Scalar, 8, 71816340, 48134, 1000000, 71
SSE4, 8, 42090520, 6092888, 1000000, 42
Scalar, 16, 163923897, 6276155, 1000000, 163
SSE4, 16, 39933882, 39142, 1000000, 39
Scalar, 32, 327141970, 6048544, 1000000, 327
SSE4, 32, 75624475, 42641, 1000000, 75
Scalar, 64, 604300309, 6283744, 1000000, 604
SSE4, 64, 117476078, 23010, 1000000, 117
Scalar, 128, 1150100771, 6253880, 1000000, 1150
SSE4, 128, 241554907, 164003, 1000000, 241
Scalar, 256, 2199195826, 6119868, 1000000, 2199
SSE4, 256, 436487871, 194616, 1000000, 436
Scalar, 512, 4328242498, 6232523, 1000000, 4328
SSE4, 512, 880977351, 145289, 1000000, 880
Scalar, 1024, 8633349689, 6245753, 1000000, 8633
SSE4, 1024, 1750908994, 142720, 1000000, 1750
Scalar, 2048, 17296798809, 16662131, 1000000, 17296
SSE4, 2048, 3503554220, 376828, 1000000, 3503
Scalar, 24, 209860965, 6153295, 1000000, 209
SSE4, 24, 51787263, 22529, 1000000, 51
Scalar, 72, 648104744, 6275112, 1000000, 648
SSE4, 72, 130102158, 38302, 1000000, 130
Scalar, 216, 1869655356, 6061163, 1000000, 1869
SSE4, 216, 375891711, 75822, 1000000, 375
Scalar, 648, 5507922444, 6270154, 1000000, 5507
SSE4, 648, 1165739548, 100602, 1000000, 1165
Scalar, 1944, 16261608037, 6253981, 1000000, 16261
SSE4, 1944, 3263179685, 179509, 1000000, 3263
Scalar, 5832, 48868048397, 63967028, 1000000, 48868
SSE4, 5832, 9795330839, 244069, 1000000, 9795
Scalar, 8, 61962309, 47892, 1000000, 61
SSE4, 8, 45377755, 5917057, 1000000, 45
Scalar, 16, 163605595, 225020, 1000000, 163
SSE4, 16, 40540431, 37369, 1000000, 40
Scalar, 32, 331492374, 6225818, 1000000, 331
SSE4, 32, 72191474, 39433, 1000000, 72
Scalar, 64, 587112158, 6184179, 1000000, 587
SSE4, 64, 125520976, 38974, 1000000, 125
Scalar, 128, 1123188880, 6185850, 1000000, 1123
SSE4, 128, 228415301, 28961, 1000000, 228
Scalar, 256, 2156840896, 6042365, 1000000, 2156
SSE4, 256, 446655077, 46388, 1000000, 446
Scalar, 512, 4368035833, 6233815, 1000000, 4368
SSE4, 512, 892164591, 166843, 1000000, 892
Scalar, 1024, 8570713953, 6617644, 1000000, 8570
SSE4, 1024, 1902899682, 467257, 1000000, 1902
Scalar, 2048, 17375516205, 6294766, 1000000, 17375
SSE4, 2048, 3481561934, 145281, 1000000, 3481
Scalar, 24, 210713783, 6240399, 1000000, 210
SSE4, 24, 51069096, 6175, 1000000, 51
Scalar, 72, 682185081, 6209727, 1000000, 682
SSE4, 72, 136631883, 42048, 1000000, 136
Scalar, 216, 1846799361, 6289575, 1000000, 1846
SSE4, 216, 368381102, 141199, 1000000, 368
Scalar, 648, 5497509393, 6190053, 1000000, 5497
SSE4, 648, 1133559642, 148067, 1000000, 1133
Scalar, 1944, 16256238565, 302394, 1000000, 16256
SSE4, 1944, 3324893055, 157840, 1000000, 3324
Scalar, 5832, 48634883833, 10233637, 1000000, 48634
SSE4, 5832, 9852841474, 733142, 1000000, 9852
Scalar, 8, 70795054, 6053424, 1000000, 70
SSE4, 8, 40650320, 156062, 1000000, 40
Scalar, 16, 163387574, 156736, 1000000, 163
SSE4, 16, 39879516, 14708, 1000000, 39
Scalar, 32, 325191773, 6212974, 1000000, 325
SSE4, 32, 65701548, 39143, 1000000, 65
Scalar, 64, 601169271, 221060, 1000000, 601
SSE4, 64, 124661462, 33486, 1000000, 124
Scalar, 128, 1140212771, 6387416, 1000000, 1140
SSE4, 128, 233787206, 44848, 1000000, 233
Scalar, 256, 2263451772, 6345399, 1000000, 2263
SSE4, 256, 451703160, 96297, 1000000, 451
Scalar, 512, 4395251996, 6109707, 1000000, 4395
SSE4, 512, 872115381, 123769, 1000000, 872
Scalar, 1024, 8617327387, 472672, 1000000, 8617
SSE4, 1024, 1793209974, 145490, 1000000, 1793
Scalar, 2048, 17181946467, 6259402, 1000000, 17181
SSE4, 2048, 3504791881, 89512, 1000000, 3504
Scalar, 24, 212825188, 6067898, 1000000, 212
SSE4, 24, 56105578, 53678, 1000000, 56
Scalar, 72, 694518249, 6268655, 1000000, 694
SSE4, 72, 132514437, 153349, 1000000, 132
Scalar, 216, 1866813366, 6358591, 1000000, 1866
SSE4, 216, 379250452, 59066, 1000000, 379
Scalar, 648, 5479274681, 6307603, 1000000, 5479
SSE4, 648, 1142696620, 139779, 1000000, 1142
Scalar, 1944, 16272854568, 6147474, 1000000, 16272
SSE4, 1944, 3296156067, 191604, 1000000, 3296
Scalar, 5832, 48766864381, 6343505, 1000000, 48766
SSE4, 5832, 9801686403, 268025, 1000000, 9801
